100 100 1000
1 1 14 90358
2 2 9 29778
3 3 6 52470
4 4 1 85532
5 5 5 41432
6 6 20 8577
7 7 6 46319
8 8 6 40101
9 9 13 53462
10 10 8 60538
11 11 10 72447
12 12 17 53764
13 13 5 70034
14 14 5 38649
15 15 11 28085
16 16 1 10476
17 17 15 37860
18 18 14 46247
19 19 7 99487
20 20 7 1985
21 21 9 27336
22 22 5 28697
23 23 8 97142
24 24 6 92024
25 25 11 84702
26 26 11 9310
27 27 1 57235
28 28 3 15572
29 29 11 7409
30 30 1 35467
31 31 16 72873
32 32 5 6597
33 33 14 15628
34 34 14 52138
35 35 11 76877
36 36 18 12657
37 37 6 7378
38 38 16 21568
39 39 20 55787
40 40 5 95333
41 41 18 89810
42 42 2 43144
43 43 6 61715
44 44 16 57676
45 45 9 12832
46 46 17 95342
47 47 13 99739
48 48 1 5278
49 49 8 42974
50 50 10 28455
51 51 4 56256
52 52 11 21197
53 53 16 40453
54 54 11 67406
55 55 19 83988
56 56 6 63736
57 57 2 3468
58 58 7 71718
59 59 14 75870
60 60 4 75089
61 61 17 17545
62 62 3 51734
63 63 1 69335
64 64 7 54952
65 65 1 74532
66 66 7 65884
67 67 14 43553
68 68 6 91134
69 69 3 8121
70 70 15 92016
71 71 11 76661
72 72 6 9346
73 73 12 37655
74 74 5 84583
75 75 9 89432
76 76 1 89424
77 77 3 75971
78 78 17 3076
79 79 7 64303
80 80 13 49962
81 81 9 84684
82 82 2 88844
83 83 9 12324
84 84 3 63013
85 85 8 70585
86 86 3 46506
87 87 8 80785
88 88 5 53463
89 89 9 57225
90 90 18 31914
91 91 12 94191
92 92 8 48228
93 93 14 43010
94 94 13 58936
95 95 19 83667
96 96 15 64038
97 97 20 72993
98 98 19 99384
99 99 19 85479
100 100 17 58557
1 101 5 48436
2 102 3 19661
3 103 20 15564
4 104 17 39235
5 105 9 52723
6 106 20 73585
7 107 13 90084
8 108 9 41122
9 109 1 94015
10 110 11 34940
11 111 15 4011
12 112 1 85495
13 113 20 81202
14 114 3 22008
15 115 7 86107
16 116 20 15542
17 117 19 90569
18 118 16 46664
19 119 5 43477
20 120 20 73019
21 121 16 13535
22 122 7 72844
23 123 17 92365
24 124 13 43885
25 125 10 71165
26 126 11 37286
27 127 12 56992
28 128 7 99146
29 129 10 20548
30 130 7 83871
31 131 6 21065
32 132 7 11238
33 133 4 15012
34 134 18 25879
35 135 9 4548
36 136 7 61
37 137 15 53579
38 138 2 187
39 139 17 85666
40 140 6 46039
41 141 14 59686
42 142 9 47327
43 143 3 7080
44 144 7 65387
45 145 11 55081
46 146 11 33132
47 147 11 90223
48 148 15 68973
49 149 10 56108
50 150 6 3113
51 151 13 45077
52 152 14 20987
53 153 19 71516
54 154 18 88096
55 155 15 58350
56 156 17 7042
57 157 18 65450
58 158 19 69007
59 159 9 56203
60 160 13 63457
61 161 6 41456
62 162 13 95608
63 163 7 60884
64 164 18 48356
65 165 16 46527
66 166 13 29578
67 167 5 77621
68 168 1 63820
69 169 19 86713
70 170 15 17466
71 171 18 99688
72 172 9 16920
73 173 3 94458
74 174 1 49095
75 175 1 99321
76 176 10 45578
77 177 5 44672
78 178 7 5329
79 179 12 92690
80 180 6 16460
81 181 16 507
82 182 13 14023
83 183 8 30889
84 184 8 62892
85 185 10 33615
86 186 6 60270
87 187 18 17056
88 188 8 81747
89 189 16 40896
90 190 2 77629
91 191 18 78487
92 192 3 30350
93 193 1 85745
94 194 6 71382
95 195 1 99598
96 196 5 14806
97 197 6 62137
98 198 16 65234
99 199 3 55260
100 200 12 1837
1 201 6 70690
2 202 19 47659
3 203 2 99091
4 204 8 94872
5 205 2 76332
6 206 7 81783
7 207 10 22347
8 208 11 65010
9 209 14 25100
10 210 12 26418
11 211 18 25763
12 212 7 45960
13 213 14 83559
14 214 1 19003
15 215 11 57789
16 216 16 45628
17 217 16 77695
18 218 6 39232
19 219 18 45386
20 220 16 22062
21 221 14 5952
22 222 2 54605
23 223 6 15576
24 224 14 85480
25 225 17 72720
26 226 11 81658
27 227 4 28767
28 228 18 74038
29 229 20 66317
30 230 9 10021
31 231 15 28953
32 232 15 79625
33 233 14 33895
34 234 3 26357
35 235 1 63529
36 236 9 94354
37 237 16 84182
38 238 19 62017
39 239 17 76651
40 240 5 64128
41 241 9 56315
42 242 20 32390
43 243 19 33722
44 244 20 22362
45 245 6 99305
46 246 8 72623
47 247 19 11526
48 248 9 70433
49 249 6 73078
50 250 5 51973
51 251 14 68654
52 252 2 62484
53 253 17 66620
54 254 8 726
55 255 13 75824
56 256 16 41149
57 257 16 28944
58 258 6 26584
59 259 14 51983
60 260 13 58120
61 261 12 41086
62 262 12 62763
63 263 4 38657
64 264 19 56972
65 265 9 76286
66 266 10 69771
67 267 13 79302
68 268 7 2784
69 269 4 65800
70 270 14 27957
71 271 9 99812
72 272 20 65225
73 273 3 56634
74 274 11 18180
75 275 15 53030
76 276 11 12504
77 277 5 45841
78 278 13 10130
79 279 4 85621
80 280 7 47667
81 281 5 63429
82 282 18 78725
83 283 20 36330
84 284 8 99219
85 285 9 76182
86 286 18 80094
87 287 16 18255
88 288 19 15593
89 289 7 10883
90 290 17 53729
91 291 16 29829
92 292 9 1990
93 293 12 2266
94 294 5 13429
95 295 16 33416
96 296 14 76176
97 297 8 65283
98 298 4 6999
99 299 15 45545
100 300 18 85389
1 301 12 95426
2 302 9 95810
3 303 15 65547
4 304 4 14632
5 305 10 62361
6 306 16 26747
7 307 18 58109
8 308 15 12293
9 309 2 72173
10 310 16 6000
11 311 12 85398
12 312 3 21849
13 313 9 68062
14 314 4 28874
15 315 10 59804
16 316 8 51560
17 317 1 88275
18 318 20 20215
19 319 8 27739
20 320 13 5969
21 321 20 2415
22 322 14 81030
23 323 18 1179
24 324 20 14496
25 325 9 72028
26 326 18 72084
27 327 14 75469
28 328 1 33531
29 329 20 46804
30 330 19 57832
31 331 19 77036
32 332 15 85920
33 333 19 64782
34 334 1 94309
35 335 13 34371
36 336 7 17804
37 337 6 99852
38 338 9 70354
39 339 10 52173
40 340 8 4841
41 341 13 82183
42 342 10 45072
43 343 20 94040
44 344 20 27106
45 345 7 13112
46 346 18 59278
47 347 10 65154
48 348 7 98393
49 349 20 9221
50 350 17 81110
51 351 4 13215
52 352 6 89864
53 353 3 82203
54 354 2 51269
55 355 8 87647
56 356 6 35299
57 357 7 25379
58 358 15 95122
59 359 12 50682
60 360 15 711
61 361 8 64771
62 362 14 21921
63 363 1 52691
64 364 11 48005
65 365 16 90380
66 366 10 47855
67 367 18 43213
68 368 4 80797
69 369 14 28535
70 370 12 86618
71 371 9 11939
72 372 12 48752
73 373 6 92473
74 374 5 99808
75 375 6 21368
76 376 16 9391
77 377 12 45110
78 378 18 42859
79 379 7 16289
80 380 2 24706
81 381 7 94139
82 382 8 10165
83 383 5 27628
84 384 11 944
85 385 2 11262
86 386 7 48521
87 387 3 15018
88 388 20 39791
89 389 6 24833
90 390 1 71268
91 391 5 42355
92 392 12 5735
93 393 6 36667
94 394 16 58727
95 395 15 62055
96 396 7 51234
97 397 10 23646
98 398 14 14589
99 399 17 37886
100 400 1 52260
1 401 20 48406
2 402 16 85135
3 403 7 39438
4 404 5 82716
5 405 13 29137
6 406 11 30329
7 407 14 20371
8 408 13 12724
9 409 20 2988
10 410 6 69966
11 411 17 39554
12 412 6 67503
13 413 17 38579
14 414 8 92750
15 415 14 34686
16 416 11 10229
17 417 14 26855
18 418 14 95897
19 419 3 43467
20 420 8 60767
21 421 13 7532
22 422 6 84714
23 423 14 79922
24 424 2 59188
25 425 14 97667
26 426 9 41529
27 427 6 80370
28 428 6 97394
29 429 1 75032
30 430 16 27083
31 431 19 75771
32 432 3 13029
33 433 4 27216
34 434 20 68188
35 435 18 39635
36 436 19 97643
37 437 6 33874
38 438 14 28334
39 439 3 53072
40 440 5 70301
41 441 6 3233
42 442 5 20753
43 443 15 58168
44 444 4 36848
45 445 3 63475
46 446 11 60279
47 447 3 34209
48 448 19 85866
49 449 15 67606
50 450 4 20617
51 451 14 98036
52 452 1 1276
53 453 10 77634
54 454 1 53062
55 455 12 65896
56 456 9 21561
57 457 17 16830
58 458 19 2339
59 459 1 58507
60 460 2 44623
61 461 13 76032
62 462 16 19347
63 463 3 97139
64 464 12 76641
65 465 10 91566
66 466 12 31857
67 467 7 90360
68 468 18 14938
69 469 7 29361
70 470 3 55
71 471 7 238
72 472 1 42779
73 473 18 54278
74 474 20 30877
75 475 12 15584
76 476 7 66671
77 477 9 62277
78 478 20 21633
79 479 4 76884
80 480 8 13599
81 481 18 3923
82 482 6 65148
83 483 15 69473
84 484 3 39216
85 485 16 15753
86 486 14 51973
87 487 11 73120
88 488 5 83259
89 489 12 1835
90 490 14 78190
91 491 9 8749
92 492 17 71954
93 493 11 90416
94 494 16 5739
95 495 4 12187
96 496 3 38338
97 497 13 59532
98 498 3 71321
99 499 3 98592
100 500 12 86512
1 501 9 16564
2 502 11 22187
3 503 11 12403
4 504 9 40216
5 505 2 27630
6 506 10 37683
7 507 19 75000
8 508 19 87108
9 509 17 67929
10 510 15 35425
11 511 7 65851
12 512 6 93302
13 513 11 74052
14 514 4 6869
15 515 1 79842
16 516 13 44480
17 517 4 75522
18 518 8 84618
19 519 13 64202
20 520 11 19154
21 521 3 56550
22 522 1 87897
23 523 18 24345
24 524 4 45216
25 525 19 2173
26 526 14 95506
27 527 2 16908
28 528 1 25481
29 529 1 59577
30 530 4 54963
31 531 19 81786
32 532 1 42010
33 533 14 62965
34 534 15 8564
35 535 6 33560
36 536 17 52022
37 537 14 86477
38 538 20 61646
39 539 3 34691
40 540 10 35910
41 541 15 63292
42 542 12 85820
43 543 3 55218
44 544 17 24015
45 545 17 98255
46 546 2 19840
47 547 5 21242
48 548 19 68873
49 549 3 15998
50 550 13 63455
51 551 10 64478
52 552 11 28877
53 553 5 77849
54 554 15 8223
55 555 15 19729
56 556 15 84475
57 557 8 23309
58 558 11 93411
59 559 12 39772
60 560 3 24036
61 561 1 13584
62 562 7 96921
63 563 11 19732
64 564 4 6242
65 565 13 35248
66 566 2 64158
67 567 5 89892
68 568 5 92881
69 569 19 72965
70 570 9 80078
71 571 6 70189
72 572 17 85723
73 573 15 21289
74 574 2 4494
75 575 19 73216
76 576 15 87180
77 577 1 54711
78 578 4 6213
79 579 20 49616
80 580 8 44528
81 581 19 33759
82 582 2 3899
83 583 14 20464
84 584 19 19356
85 585 20 77666
86 586 7 18024
87 587 5 79099
88 588 18 88817
89 589 20 79316
90 590 16 74439
91 591 10 20291
92 592 19 31036
93 593 12 48987
94 594 12 38516
95 595 19 59402
96 596 12 68941
97 597 5 58926
98 598 6 20393
99 599 19 59048
100 600 7 8987
1 601 12 10176
2 602 15 11647
3 603 18 30966
4 604 7 62000
5 605 13 17019
6 606 12 51194
7 607 20 29401
8 608 9 38400
9 609 17 23915
10 610 3 67539
11 611 12 19444
12 612 1 48255
13 613 17 1212
14 614 9 28235
15 615 1 49129
16 616 20 54925
17 617 10 19485
18 618 15 38566
19 619 8 13772
20 620 2 84282
21 621 14 92439
22 622 7 56397
23 623 11 16413
24 624 12 18968
25 625 4 36598
26 626 9 88438
27 627 3 54420
28 628 11 6568
29 629 4 28192
30 630 1 12707
31 631 15 53949
32 632 1 86353
33 633 5 74659
34 634 7 94800
35 635 6 60301
36 636 14 21141
37 637 3 76883
38 638 1 76503
39 639 8 12035
40 640 16 68426
41 641 17 19475
42 642 3 89891
43 643 4 77723
44 644 4 58862
45 645 6 26909
46 646 7 17329
47 647 20 15871
48 648 9 78161
49 649 5 10061
50 650 5 67828
51 651 9 72844
52 652 16 74044
53 653 8 92678
54 654 10 77152
55 655 19 87176
56 656 7 71072
57 657 4 49752
58 658 10 65753
59 659 18 92581
60 660 16 8552
61 661 6 66089
62 662 16 97866
63 663 12 29618
64 664 8 26177
65 665 1 37757
66 666 19 93413
67 667 17 10647
68 668 9 56322
69 669 20 87312
70 670 3 48133
71 671 5 66314
72 672 8 41779
73 673 16 98976
74 674 18 29561
75 675 15 46406
76 676 5 3509
77 677 10 54301
78 678 8 43401
79 679 1 50898
80 680 19 33445
81 681 4 78835
82 682 14 37259
83 683 13 79863
84 684 2 23948
85 685 17 86488
86 686 19 33870
87 687 19 53131
88 688 10 23861
89 689 2 60861
90 690 20 22742
91 691 2 78705
92 692 10 17542
93 693 19 71679
94 694 19 15934
95 695 13 97426
96 696 19 57173
97 697 6 44561
98 698 20 34680
99 699 12 78578
100 700 7 65255
1 701 19 33981
2 702 12 35279
3 703 3 92192
4 704 4 44080
5 705 1 96481
6 706 12 99119
7 707 3 7017
8 708 14 70403
9 709 18 16066
10 710 4 80054
11 711 3 52157
12 712 5 43483
13 713 3 36146
14 714 6 98654
15 715 2 69785
16 716 13 57750
17 717 1 41205
18 718 16 93265
19 719 5 45334
20 720 3 62496
21 721 9 36926
22 722 1 94846
23 723 10 74329
24 724 15 76081
25 725 8 45123
26 726 19 74133
27 727 11 62805
28 728 20 46852
29 729 20 18544
30 730 16 96812
31 731 7 91326
32 732 1 37760
33 733 20 12285
34 734 17 98413
35 735 5 25953
36 736 17 71115
37 737 9 58288
38 738 3 77088
39 739 14 69
40 740 19 24828
41 741 6 68181
42 742 19 62145
43 743 20 38316
44 744 11 84583
45 745 20 18418
46 746 12 73226
47 747 4 37118
48 748 5 38761
49 749 12 60594
50 750 18 38967
51 751 20 81115
52 752 4 70936
53 753 8 5872
54 754 20 69933
55 755 3 29807
56 756 8 19468
57 757 11 54275
58 758 17 39028
59 759 8 27466
60 760 4 84508
61 761 13 35222
62 762 19 73370
63 763 9 93929
64 764 19 53372
65 765 3 43524
66 766 20 40666
67 767 9 39763
68 768 3 50140
69 769 11 70820
70 770 13 14245
71 771 14 46021
72 772 12 90986
73 773 9 15361
74 774 15 13414
75 775 16 56385
76 776 7 30209
77 777 6 94426
78 778 17 8356
79 779 11 15015
80 780 14 85507
81 781 6 69455
82 782 14 80688
83 783 17 25832
84 784 2 36913
85 785 4 88696
86 786 3 45601
87 787 15 73127
88 788 7 11587
89 789 6 36894
90 790 13 49358
91 791 16 62650
92 792 12 5458
93 793 2 76024
94 794 5 78743
95 795 10 96193
96 796 2 74627
97 797 5 69301
98 798 1 27256
99 799 2 71152
100 800 17 81101
1 801 14 71497
2 802 4 82541
3 803 18 27007
4 804 20 12680
5 805 15 32487
6 806 17 85780
7 807 3 62734
8 808 5 96862
9 809 14 60074
10 810 9 68530
11 811 2 70228
12 812 10 75468
13 813 19 67220
14 814 4 5445
15 815 14 3425
16 816 17 18985
17 817 9 36590
18 818 18 39930
19 819 6 52238
20 820 12 56468
21 821 7 97551
22 822 12 67884
23 823 5 11630
24 824 20 94674
25 825 20 26342
26 826 17 94866
27 827 16 27293
28 828 8 37349
29 829 13 94983
30 830 17 8507
31 831 20 9884
32 832 5 79187
33 833 18 46550
34 834 4 13339
35 835 15 70757
36 836 16 86963
37 837 20 48272
38 838 5 29652
39 839 12 54745
40 840 1 97761
41 841 17 23244
42 842 6 6343
43 843 13 78096
44 844 16 93674
45 845 4 29515
46 846 18 33275
47 847 11 72176
48 848 20 37831
49 849 18 85636
50 850 13 93463
51 851 13 20729
52 852 6 1746
53 853 15 79235
54 854 15 39970
55 855 16 85715
56 856 12 4804
57 857 7 28026
58 858 2 8676
59 859 11 81588
60 860 6 22878
61 861 5 2635
62 862 20 43381
63 863 14 49291
64 864 14 11312
65 865 11 82789
66 866 2 18313
67 867 18 42774
68 868 15 9389
69 869 19 81906
70 870 10 74720
71 871 20 2985
72 872 15 16087
73 873 15 69571
74 874 5 91988
75 875 11 95996
76 876 8 58986
77 877 6 9819
78 878 18 8424
79 879 18 64274
80 880 1 53206
81 881 6 88008
82 882 7 76782
83 883 8 20157
84 884 15 92029
85 885 19 24577
86 886 16 90694
87 887 19 36933
88 888 10 73848
89 889 12 63232
90 890 14 70994
91 891 16 50992
92 892 13 47755
93 893 20 80030
94 894 6 73532
95 895 20 44914
96 896 11 41841
97 897 2 54201
98 898 1 5335
99 899 11 38685
100 900 8 38708
1 901 9 59802
2 902 16 50200
3 903 5 84702
4 904 7 4536
5 905 7 9352
6 906 14 28010
7 907 19 35456
8 908 2 23573
9 909 1 92833
10 910 18 87007
11 911 12 81599
12 912 7 44752
13 913 11 19805
14 914 1 61967
15 915 2 96209
16 916 1 32987
17 917 6 63436
18 918 18 48278
19 919 14 65484
20 920 2 40310
21 921 4 23719
22 922 16 62000
23 923 4 66882
24 924 14 39914
25 925 2 2324
26 926 14 66935
27 927 8 62843
28 928 10 96709
29 929 1 59746
30 930 9 67657
31 931 6 32276
32 932 12 86842
33 933 5 90621
34 934 3 58797
35 935 5 76443
36 936 9 75696
37 937 20 60940
38 938 3 24074
39 939 7 11984
40 940 3 74812
41 941 12 92197
42 942 20 47106
43 943 7 6104
44 944 14 99748
45 945 15 96750
46 946 1 7147
47 947 6 70498
48 948 5 59321
49 949 1 18525
50 950 20 10678
51 951 4 15608
52 952 2 7349
53 953 7 52962
54 954 12 75068
55 955 19 28958
56 956 15 61520
57 957 16 3347
58 958 3 82493
59 959 14 68053
60 960 15 91019
61 961 7 11775
62 962 18 8576
63 963 16 41956
64 964 11 85555
65 965 4 91697
66 966 3 41731
67 967 18 61920
68 968 3 95012
69 969 7 14560
70 970 9 29917
71 971 13 96841
72 972 9 23687
73 973 3 78009
74 974 5 78991
75 975 5 80878
76 976 6 79265
77 977 14 17387
78 978 2 37277
79 979 20 5436
80 980 6 16164
81 981 11 97663
82 982 7 93950
83 983 16 65063
84 984 16 40191
85 985 2 86544
86 986 20 26419
87 987 1 62801
88 988 3 69226
89 989 8 86214
90 990 20 44748
91 991 20 73568
92 992 9 97808
93 993 6 58163
94 994 8 7810
95 995 12 57334
96 996 8 24464
97 997 12 17989
98 998 7 21902
99 999 14 49505
100 1000 20 47027
