100 34 220
216 118 0 0
121 174 1 15
146 205 1 16
184 103 1 17
3 269 1 19
5 148 1 19
184 99 1 21
21 119 1 22
184 100 1 23
3 273 1 24
146 189 1 26
3 259 1 27
177 5 1 28
251 288 1 29
106 52 1 31
119 47 1 32
2 232 1 34
2 224 1 35
127 27 1 36
3 254 1 37
112 9 1 38
177 3 1 39
3 268 1 40
3 261 1 41
184 111 1 42
119 41 1 45
111 246 1 46
129 126 1 47
3 264 1 48
106 58 1 50
129 124 1 53
3 252 1 54
2 231 1 55
184 105 1 58
171 85 1 62
177 4 1 63
146 190 1 64
999 139 1 65
106 55 1 66
111 245 1 67
178 72 1 68
146 209 1 69
999 134 1 70
119 48 1 75
126 162 1 77
143 25 1 78
106 54 1 79
120 95 1 80
888 15 1 81
121 186 1 82
109 36 1 83
129 128 1 84
121 181 1 85
129 129 1 86
204 211 1 87
5 290 1 89
3 251 2 93
106 292 1 93
192 94 1 94
2 221 1 99
126 154 1 100
146 201 1 101
196 6 1 102
171 84 1 103
121 176 1 105
177 2 1 109
160 143 1 112
2 223 1 115
171 77 1 116
2 226 1 118
888 10 1 119
22 278 1 120
106 59 1 121
178 71 1 122
109 32 1 123
143 24 2 124
184 114 1 124
146 200 2 127
3 265 2 130
106 291 1 142
184 113 1 143
184 102 1 144
3 270 3 148
106 57 1 150
171 82 1 151
129 121 1 153
184 115 1 154
160 141 1 158
184 107 1 159
171 86 1 160
2 218 1 161
3 255 2 161
126 163 1 163
3 263 2 172
119 46 1 181
204 212 1 185
119 43 1 186
119 40 1 187
3 271 1 188
137 248 1 189
121 187 1 190
192 90 2 190
5 151 1 191
888 13 1 192
3 274 2 193
184 108 1 196
126 158 1 197
160 145 1 198
111 242 2 199
146 206 1 202
121 184 1 203
126 157 1 205
2 233 1 207
121 173 1 208
2 214 2 212
127 29 1 212
160 140 1 213
143 22 1 214
171 76 1 217
3 260 4 219
127 26 2 220
111 237 2 224
184 109 1 226
143 21 1 231
109 31 1 234
143 16 2 237
184 116 2 242
121 170 1 244
177 1 2 251
888 11 1 251
999 137 2 252
111 244 1 253
2 234 2 256
251 284 2 257
143 17 2 258
146 204 1 258
121 182 1 262
129 127 1 264
999 135 2 266
146 191 3 268
127 30 2 269
146 203 2 270
160 142 1 270
3 262 2 272
121 166 1 272
2 225 3 274
146 196 3 275
157 132 1 276
22 281 3 277
999 133 2 279
192 89 3 283
184 110 2 285
178 70 3 286
3 253 3 287
111 235 2 289
109 33 2 291
119 38 2 293
131 64 2 294
121 168 1 297
105 61 2 303
121 171 2 309
2 228 2 310
2 222 2 314
146 192 3 314
121 183 3 315
131 65 2 316
131 66 2 322
109 37 2 323
22 277 3 325
131 68 3 328
2 217 2 335
184 97 2 336
2 230 2 337
2 220 3 342
157 131 2 349
251 286 2 356
111 247 2 360
129 125 3 361
2 229 3 366
251 282 3 377
146 195 2 378
999 136 3 383
3 272 3 384
106 56 2 384
121 188 1 388
171 80 2 388
171 83 2 395
5 150 2 396
2 215 3 404
192 93 3 416
121 167 1 417
109 34 3 428
3 267 3 434
3 275 3 442
184 117 2 448
2 219 4 461
105 62 2 469
3 257 3 472
106 49 3 473
5 146 3 480
204 210 4 488
3 276 3 490
160 144 2 493
184 98 2 496
146 207 4 502
120 96 2 522
114 87 2 531
146 208 3 552
192 92 4 565
251 283 2 585
251 287 2 608
184 101 3 611
126 164 3 629
114 88 3 661
2 213 3 670
178 74 4 720
3 258 5 785
184 106 5 919
2 227 5 937
146 194 6 1023
